codigo_parroquia,parroquia,canton,riesgo,riesgo_pred,prob_alto,prob_medio,prob_bajo,score
120150,BABAHOYO,BABAHOYO,alto,alto,0.964,0.035,0.0,0.964
120152,CARACOL,BABAHOYO,medio,alto,0.526,0.472,0.001,0.526
120153,FEBRES CORDERO (LAS JUNTAS),BABAHOYO,medio,medio,0.074,0.908,0.018,0.908
120154,PIMOCHA,BABAHOYO,alto,alto,0.569,0.43,0.001,0.569
120155,LA UNION,BABAHOYO,medio,medio,0.189,0.809,0.002,0.809
120250,BABA,BABA,medio,alto,0.791,0.208,0.001,0.791
120251,GUARE,BABA,alto,alto,0.561,0.437,0.002,0.561
120252,ISLA DE BEJUCAL,BABA,medio,medio,0.491,0.507,0.002,0.507
120350,MONTALVO,MONTALVO,medio,medio,0.134,0.86,0.006,0.86
120450,PUEBLOVIEJO,PUEBLOVIEJO,medio,alto,0.667,0.331,0.002,0.667
120451,PUERTO PECHICHE,PUEBLOVIEJO,medio,medio,0.302,0.687,0.01,0.687
120452,SAN JUAN,PUEBLOVIEJO,alto,alto,0.62,0.378,0.002,0.62
120550,QUEVEDO,QUEVEDO,alto,alto,0.907,0.088,0.005,0.907
120553,SAN CARLOS,QUEVEDO,medio,medio,0.24,0.721,0.038,0.721
120555,LA ESPERANZA,QUEVEDO,medio,medio,0.23,0.681,0.089,0.681
120650,CATARAMA,URDANETA,alto,alto,0.791,0.208,0.001,0.791
120651,RICAURTE,URDANETA,medio,medio,0.173,0.817,0.01,0.817
120750,VENTANAS,VENTANAS,medio,alto,0.587,0.403,0.01,0.587
120752,ZAPOTAL,VENTANAS,medio,medio,0.124,0.781,0.095,0.781
120850,VINCES,VINCES,alto,alto,0.569,0.429,0.003,0.569
120851,ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES),VINCES,alto,alto,0.734,0.264,0.002,0.734
120950,PALENQUE,PALENQUE,medio,medio,0.441,0.549,0.01,0.549
121050,SAN JACINTO DE BUENA FE,BUENA FE,alto,medio,0.42,0.547,0.032,0.547
121051,PATRICIA PILAR,BUENA FE,bajo,bajo,0.001,0.094,0.905,0.905
121150,VALENCIA,VALENCIA,bajo,bajo,0.0,0.013,0.987,0.987
121250,MOCACHE,MOCACHE,medio,medio,0.332,0.635,0.034,0.635
121350,QUINSALOMA,QUINSALOMA,medio,medio,0.228,0.701,0.072,0.701
120754,LOS ANGELES,VENTANAS,medio,medio,0.033,0.722,0.245,0.722
120753,CHACARITA,VENTANAS,bajo,bajo,0.0,0.004,0.996,0.996
120351,LA ESMERALDA,MONTALVO,medio,medio,0.024,0.833,0.143,0.833
